"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 14 05:38:50 GMT 2023","Thu Dec 14 05:38:55 GMT 2023","5491","tests","connecting_users_to_a_meeting_via_ID_test","TestConnectingUsersToMeetingWithID","","","Connecting to a meeting via the meeting ID as an unauthorized user",""
"passed","Thu Dec 14 05:39:25 GMT 2023","Thu Dec 14 05:39:29 GMT 2023","4178","tests","messages_test","TestMessages","","","Search users",""
"broken","Thu Dec 14 05:42:31 GMT 2023","Thu Dec 14 05:42:45 GMT 2023","14142","tests.meeting","return_in_main_room_in_meet_test","TestReturnInManiRoom","","","Return in main room in meet",""
"passed","Thu Dec 14 05:38:42 GMT 2023","Thu Dec 14 05:38:45 GMT 2023","3085","tests","authorization_test","TestAuthorization","","","Invalid authorization",""
"passed","Thu Dec 14 05:43:46 GMT 2023","Thu Dec 14 05:44:04 GMT 2023","17701","tests.meeting","status_of_camera_and_microphone_test","TestStatusCameraAndMicrophone","","","Status camera adn microphone in meet",""
"passed","Thu Dec 14 05:39:13 GMT 2023","Thu Dec 14 05:39:16 GMT 2023","3113","tests","main_page_test","TestMainPage","","","The test of opening the meeting planning page",""
"passed","Thu Dec 14 05:39:30 GMT 2023","Thu Dec 14 05:39:41 GMT 2023","10416","tests","messages_test","TestMessages","","","Send messages",""
"passed","Thu Dec 14 05:41:36 GMT 2023","Thu Dec 14 05:41:53 GMT 2023","17234","tests.meeting","end_call_meet_test","TestEndCallMeet","","","End call on meet",""
"passed","Thu Dec 14 05:40:06 GMT 2023","Thu Dec 14 05:40:10 GMT 2023","4471","tests","settings_test","TestSettings","","","Logout",""
"passed","Thu Dec 14 05:41:23 GMT 2023","Thu Dec 14 05:41:34 GMT 2023","10614","tests.meeting","create_room_in_meet_test","TestCreateRoomInMeet","","","Create room in meet",""
"broken","Thu Dec 14 05:40:31 GMT 2023","Thu Dec 14 05:40:50 GMT 2023","18698","tests","viewing_a_scheduled_meeting_test","TestViewingAScheduledMeeting","","","Canceling meeting",""
"broken","Thu Dec 14 05:41:07 GMT 2023","Thu Dec 14 05:41:22 GMT 2023","15073","tests.meeting","connect_to_room_in_meet_test","TestConnecToRoomInMeet","","","Connect to room in meet",""
"passed","Thu Dec 14 05:41:55 GMT 2023","Thu Dec 14 05:42:14 GMT 2023","19138","tests.meeting","kick_user_from_meet_test","TestKickUserFromMeet","","","Kick user from meet",""
"broken","Thu Dec 14 05:42:15 GMT 2023","Thu Dec 14 05:42:30 GMT 2023","14143","tests.meeting","on_waiting_room_in_meet_test","TestOnWaitingRoomInMeet","","","On wating room",""
"passed","Thu Dec 14 05:42:47 GMT 2023","Thu Dec 14 05:43:06 GMT 2023","18502","tests.meeting","riase_hand_test","TestRaiseHandInMeet","","","Raise hand at meet",""
"broken","Thu Dec 14 05:40:11 GMT 2023","Thu Dec 14 05:40:30 GMT 2023","18733","tests","viewing_a_scheduled_meeting_test","TestViewingAScheduledMeeting","","","Deleting meeting",""
"broken","Thu Dec 14 05:40:51 GMT 2023","Thu Dec 14 05:41:05 GMT 2023","14118","tests.meeting","block_meet_test","TestBlockingMeet","","","Blocked room",""
"passed","Thu Dec 14 05:39:17 GMT 2023","Thu Dec 14 05:39:20 GMT 2023","3076","tests","main_page_test","TestMainPage","","","The test of opening the calendar page",""
"broken","Thu Dec 14 05:39:51 GMT 2023","Thu Dec 14 05:40:05 GMT 2023","14115","tests","planning_meeting_test","TestPlanningMeeting","","","Adding users in planning meeting",""
"passed","Thu Dec 14 05:43:07 GMT 2023","Thu Dec 14 05:43:24 GMT 2023","16899","tests.meeting","send_message_in_meet_test","TestSendMessageInMeet","","","send message in meet",""
"passed","Thu Dec 14 05:39:21 GMT 2023","Thu Dec 14 05:39:24 GMT 2023","3061","tests","main_page_test","TestMainPage","","","Switching to messages from main page",""
"passed","Thu Dec 14 05:39:03 GMT 2023","Thu Dec 14 05:39:12 GMT 2023","8867","tests","main_page_test","TestMainPage","","","Starting new meeting",""
"passed","Thu Dec 14 05:39:41 GMT 2023","Thu Dec 14 05:39:50 GMT 2023","8713","tests","planning_meeting_test","TestPlanningMeeting","","","Creating meeting",""
"passed","Thu Dec 14 05:43:26 GMT 2023","Thu Dec 14 05:43:44 GMT 2023","18215","tests.meeting","send_private_message_in_meet_test","TestSendPrivateMessageInMeet","","","send private message in meet",""
"passed","Thu Dec 14 05:38:56 GMT 2023","Thu Dec 14 05:39:03 GMT 2023","6453","tests","connecting_users_to_a_meeting_via_ID_test","TestConnectingUsersToMeetingWithID","","","Connecting to a meeting via the meeting ID as an authorized user",""
"passed","Thu Dec 14 05:38:46 GMT 2023","Thu Dec 14 05:38:49 GMT 2023","3017","tests","authorization_test","TestAuthorization","","","Valid authorization",""
